candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id, population,poll_id,poll_type,nb_people,start_date,end_date,folder,population,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate,sans_opinion,rang,mention_majoritaire
EP,9.183673469387756,19.387755102040817,29.591836734693878,20.408163265306122,21.42857142857143,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Edouard,Philippe,,,,,Edouard Philippe,2.0,2,ni satisfait ni insatisfait
JB,18.367346938775512,15.306122448979592,16.3265306122449,11.224489795918368,38.775510204081634,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella,2.0,15,ni satisfait ni insatisfait
MLP,16.3265306122449,18.367346938775512,15.306122448979592,12.244897959183675,37.755102040816325,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen,2.0,14,ni satisfait ni insatisfait
RG,5.050505050505051,13.131313131313131,36.36363636363637,20.202020202020204,25.252525252525253,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Raphaël,Glucksmann,,,,,Raphaël Glucksmann,1.0,6,ni satisfait ni insatisfait
FH,4.081632653061225,14.285714285714286,25.510204081632654,22.448979591836736,33.673469387755105,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Hollande,Parti Socialiste,,,,François Hollande,2.0,21,plutôt satisfait
FR,5.1020408163265305,13.26530612244898,33.673469387755105,23.46938775510204,24.48979591836735,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Ruffin,La France Insoumise,,,,François Ruffin,2.0,10,ni satisfait ni insatisfait
FRo,2.0408163265306123,14.285714285714286,34.69387755102041,23.46938775510204,25.510204081632654,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel,2.0,12,ni satisfait ni insatisfait
GD,5.1020408163265305,22.448979591836736,27.551020408163264,19.387755102040817,25.510204081632654,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Gérald,Darmanin,,,,,Gérald Darmanin,2.0,4,ni satisfait ni insatisfait
BLM,2.0408163265306123,11.224489795918368,32.6530612244898,24.48979591836735,29.591836734693878,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bruno,Le Maire,,,,,Bruno Le Maire,2.0,18,plutôt satisfait
FB,2.0408163265306123,12.244897959183675,30.612244897959183,26.53061224489796,28.571428571428573,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Bayrou,Mouvement Démocrate,,,,François Bayrou,2.0,20,plutôt satisfait
XB,3.0612244897959187,15.306122448979592,33.673469387755105,24.48979591836735,23.46938775510204,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Xavier,Bertrand,Les Républicains,,,,Xavier Bertrand,2.0,9,ni satisfait ni insatisfait
OF,2.0408163265306123,13.26530612244898,36.734693877551024,23.46938775510204,24.48979591836735,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Olivier,Faure,Parti Socialiste,,,,Olivier Faure,2.0,11,ni satisfait ni insatisfait
BC,2.0408163265306123,13.26530612244898,39.79591836734694,23.46938775510204,21.42857142857143,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve,2.0,5,ni satisfait ni insatisfait
MT,4.081632653061225,7.142857142857143,33.673469387755105,23.46938775510204,31.63265306122449,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier,2.0,19,plutôt satisfait
LW,2.0408163265306123,10.204081632653061,35.714285714285715,23.46938775510204,28.571428571428573,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez,2.0,17,plutôt satisfait
YBP,3.0612244897959187,10.204081632653061,40.816326530612244,21.42857142857143,24.48979591836735,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet,2.0,7,ni satisfait ni insatisfait
JLM,5.1020408163265305,10.204081632653061,13.26530612244898,13.26530612244898,58.16326530612245,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon,2.0,23,très satisfait
EZ,6.0606060606060606,9.090909090909092,16.161616161616163,16.161616161616163,52.525252525252526,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Eric,Zemmour,,,,,Eric Zemmour,1.0,22,très satisfait
MBa,3.0612244897959187,10.204081632653061,37.755102040816325,25.510204081632654,23.46938775510204,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Michel,Barnier,Les Républicains,,,,Michel Barnier,2.0,13,ni satisfait ni insatisfait
GA,7.142857142857143,18.367346938775512,26.53061224489796,23.46938775510204,24.48979591836735,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Gabriel,Attal,La République En Marche,,,,Gabriel Attal,2.0,8,ni satisfait ni insatisfait
BR,10.204081632653061,19.387755102040817,32.6530612244898,17.346938775510203,20.408163265306122,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bruno,Retailleau,Les Républicains,,,,Bruno Retailleau,2.0,1,ni satisfait ni insatisfait
DL,3.0612244897959187,6.122448979591837,46.93877551020408,21.42857142857143,22.448979591836736,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",David,Lisnard,Les Républicains,,,,David Lisnard,2.0,3,ni satisfait ni insatisfait
JC,3.0612244897959187,11.224489795918368,35.714285714285715,25.510204081632654,24.48979591836735,0,,pt1,all,ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jean,Castex,Les Républicains,,,,Jean Castex,2.0,16,ni satisfait ni insatisfait
EP,9.183673469387756,23.46938775510204,31.63265306122449,16.3265306122449,19.387755102040817,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Edouard,Philippe,,,,,Edouard Philippe,2.0,1,ni satisfait ni insatisfait
JB,17.346938775510203,17.346938775510203,16.3265306122449,13.26530612244898,35.714285714285715,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella,2.0,14,ni satisfait ni insatisfait
MLP,15.306122448979592,16.3265306122449,18.367346938775512,12.244897959183675,37.755102040816325,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen,2.0,16,ni satisfait ni insatisfait
RG,5.1020408163265305,13.26530612244898,38.775510204081634,20.408163265306122,22.448979591836736,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Raphaël,Glucksmann,,,,,Raphaël Glucksmann,2.0,6,ni satisfait ni insatisfait
FH,3.0612244897959187,16.3265306122449,24.48979591836735,22.448979591836736,33.673469387755105,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Hollande,Parti Socialiste,,,,François Hollande,2.0,21,plutôt satisfait
FR,6.122448979591837,11.224489795918368,36.734693877551024,22.448979591836736,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Ruffin,La France Insoumise,,,,François Ruffin,2.0,10,ni satisfait ni insatisfait
FRo,3.0612244897959187,11.224489795918368,37.755102040816325,23.46938775510204,24.48979591836735,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel,2.0,13,ni satisfait ni insatisfait
GD,5.1020408163265305,21.42857142857143,32.6530612244898,18.367346938775512,22.448979591836736,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Gérald,Darmanin,,,,,Gérald Darmanin,2.0,3,ni satisfait ni insatisfait
BLM,2.0408163265306123,12.244897959183675,34.69387755102041,22.448979591836736,28.571428571428573,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bruno,Le Maire,,,,,Bruno Le Maire,2.0,18,plutôt satisfait
FB,1.0204081632653061,11.224489795918368,33.673469387755105,26.53061224489796,27.551020408163264,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",François,Bayrou,Mouvement Démocrate,,,,François Bayrou,2.0,20,plutôt satisfait
XB,3.0612244897959187,12.244897959183675,39.79591836734694,23.46938775510204,21.42857142857143,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Xavier,Bertrand,Les Républicains,,,,Xavier Bertrand,2.0,8,ni satisfait ni insatisfait
OF,2.0408163265306123,10.204081632653061,37.755102040816325,25.510204081632654,24.48979591836735,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Olivier,Faure,Parti Socialiste,,,,Olivier Faure,2.0,17,ni satisfait ni insatisfait
BC,3.0612244897959187,14.285714285714286,40.816326530612244,23.46938775510204,18.367346938775512,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Bernard,Cazeneuve,Parti Socialiste,,,,Bernard Cazeneuve,2.0,5,ni satisfait ni insatisfait
MT,3.0612244897959187,8.16326530612245,36.734693877551024,21.42857142857143,30.612244897959183,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Marine,Tondelier,Europe Écologie Les Verts,,,,Marine Tondelier,2.0,19,plutôt satisfait
LW,2.0408163265306123,11.224489795918368,37.755102040816325,23.46938775510204,25.510204081632654,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Laurent,Wauquiez,Les Républicains,,,,Laurent Wauquiez,2.0,15,ni satisfait ni insatisfait
YBP,2.0408163265306123,9.183673469387756,44.89795918367347,20.408163265306122,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Yaël,Braun-Pivet,,,,,Yaël Braun-Pivet,2.0,7,ni satisfait ni insatisfait
JLM,4.081632653061225,8.16326530612245,15.306122448979592,17.346938775510203,55.10204081632653,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Jean-Luc,Mélenchon,La France Insoumise,,,,Jean-Luc Mélenchon,2.0,23,très satisfait
EZ,6.122448979591837,9.183673469387756,17.346938775510203,14.285714285714286,53.06122448979592,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Eric,Zemmour,,,,,Eric Zemmour,2.0,22,très satisfait
MBa,2.0408163265306123,13.26530612244898,38.775510204081634,24.48979591836735,21.42857142857143,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Michel,Barnier,Les Républicains,,,,Michel Barnier,2.0,11,ni satisfait ni insatisfait
GA,5.1020408163265305,21.42857142857143,27.551020408163264,22.448979591836736,23.46938775510204,0,,pt1,,ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,pt1,IPSOS,La Tribune Dimanche,très satisfait,plutôt satisfait,ni satisfait ni insatisfait,plutôt insatisfait,très insatisfait,nan,,5,"Pour chacune des personnalités politiques suivantes, diriez-vous que si elle devenait président(e) de la République en 2027, vous seriez satisfait(e) ou mécontent(e) ?",Gabriel,Attal,La République En Marche,,,,Gabriel Attal,2.0,9,ni satisfait ni insatisfait
